"Id","External_Id__c","Quantity__c","Arrival_Date__c","Serial_Prefix__c","Cost__c"
"IMHNYR2IFBZNY8USVE","HEL-BATCH-026","12","2025-10-19","HS2024-34","903.00"
"G1LMO4P3HY0MO57CMU","HEL-BATCH-027","20","2026-02-19","HS2026-84","2541.00"
"7KDELTMV68WRNNINPF","HEL-BATCH-028","8","2025-11-09","HS2026-49","1153.00"
"UOUEMK8XALPUNGINFY","HEL-BATCH-029","18","2026-02-17","HS2024-52","1241.00"
"VPRNQAUDHMHBAZ6GMT","HEL-BATCH-030","18","2026-03-08","HS2026-25","2427.00"
"QGCQB7J42DVRXJ5UYE","HEL-BATCH-031","28","2026-01-13","HS2024-28","3705.00"
"A734WIGGUCFUGAIKSF","HEL-BATCH-032","25","2025-12-29","HS2026-42","3739.00"
"A3CYIJAQTFWZETTUX7","HEL-BATCH-033","28","2025-11-18","HS2024-01","2722.00"
"10JTPEVOMAT5IJESJO","HEL-BATCH-034","18","2025-11-05","HS2026-28","2199.00"
"UCON28HZEJRPIAGXPL","HEL-BATCH-035","31","2025-11-12","HS2026-27","4251.00"
"1VSNU7CID8460PTTYO","HEL-BATCH-036","23","2025-10-22","HS2026-77","3855.00"
"WNA4BNB1GE9XGN6FS9","HEL-BATCH-037","13","2025-11-25","HS2026-19","4290.00"
"2BEPPJJMZRB3SRBZ3P","HEL-BATCH-038","12","2025-12-24","HS2025-03","1477.00"
"PEM3DWUNAOOIEGB3KS","HEL-BATCH-039","23","2026-01-27","HS2025-10","4077.00"
"TFEC5JYZTMATOOF3TX","HEL-BATCH-040","23","2026-03-12","HS2025-09","2778.00"
"HPUCNCXRTOW91ACY8K","HEL-BATCH-041","22","2025-11-19","HS2025-44","2726.00"
"KH3E68QNINVMMCVJGL","HEL-BATCH-042","9","2026-01-16","HS2024-82","2726.00"
"BOPUG4F9RBQQFV3U1Q","HEL-BATCH-043","18","2025-11-20","HS2024-29","3367.00"
"RTZDNUAJG3EQQ32DC6","HEL-BATCH-044","19","2025-10-30","HS2025-70","2258.00"
"L2DZSSCDB9LBURYVKH","HEL-BATCH-045","21","2026-02-17","HS2025-25","3055.00"
"B6P32CML7YB3KRVOXO","HEL-BATCH-046","13","2025-11-28","HS2025-42","4153.00"
"ZGIH0DBALAEFXCWA2T","HEL-BATCH-047","23","2025-10-21","HS2026-74","3564.00"
"VTDJ3UJTPDSROGBVB8","HEL-BATCH-048","10","2026-02-09","HS2024-24","2798.00"
"OEGPFCZYRI8GLSA1N4","HEL-BATCH-049","14","2026-03-14","HS2026-09","2160.00"
"Z3ZO5GRXWTFVKVYPX7","HEL-BATCH-050","10","2026-02-06","HS2026-90","4574.00"
"WEPTCBXIFHP6MF4QOA","HEL-BATCH-051","15","2026-01-04","HS2024-11","3060.00"
"OHVATJ3ZJBVPKLLK8X","HEL-BATCH-052","16","2026-03-01","HS2024-97","2604.00"
"WXXVIDXO0DV43Q3WSV","HEL-BATCH-053","23","2025-11-12","HS2024-39","1420.00"
"MBCDRPTUDGPBBYISHC","HEL-BATCH-054","12","2026-03-07","HS2026-33","4264.00"
"FYMFSCJ9AYOH4CCSRI","HEL-BATCH-055","28","2026-01-08","HS2024-10","2953.00"
"DEXWNBA3JWSZ6IJU43","HEL-BATCH-056","23","2025-10-31","HS2025-76","2660.00"
"DXYLBNKTUJZ3DWFZSQ","HEL-BATCH-057","15","2025-11-20","HS2026-10","2160.00"
"SV3URGHIKRX0D1NDEY","HEL-BATCH-058","31","2026-01-14","HS2024-04","4263.00"
"WH7DASZRGXEU7UA2D8","HEL-BATCH-059","27","2025-10-29","HS2026-19","2320.00"
"XCAD0MAOMPZRTNSC4T","HEL-BATCH-060","17","2025-12-22","HS2025-88","3388.00"
"VBYOBNXNO3HN6LSUH2","HEL-BATCH-061","15","2026-02-07","HS2025-82","3415.00"
"EXNFZFEXQMSVLMS0CA","HEL-BATCH-062","14","2026-01-05","HS2026-51","4721.00"
"LIS2NQRHUTTEGJG1VJ","HEL-BATCH-063","22","2025-10-25","HS2025-36","4418.00"
"URUVUTCB3MVPTWKVRZ","HEL-BATCH-064","15","2026-01-12","HS2026-83","2585.00"
"UFXEKLLGGRUUUMCLKP","HEL-BATCH-065","32","2026-02-03","HS2026-33","1006.00"
"RFLTHCPJZZOSOMJML1","HEL-BATCH-066","9","2025-11-06","HS2025-01","2689.00"
"USYRZJTE91DJAW9C0T","HEL-BATCH-067","21","2025-12-21","HS2025-92","2947.00"
"UJ2DDND7XMZRB2RV1T","HEL-BATCH-068","14","2026-02-12","HS2025-85","3243.00"
"01PMNCF5H97IY2KMTC","HEL-BATCH-069","25","2025-12-18","HS2024-84","4118.00"
"MJCQGDWUWZYODJU87Q","HEL-BATCH-070","24","2025-12-01","HS2025-11","1703.00"
"MSRT8DYRK6CYEMWZ0S","HEL-BATCH-071","23","2026-01-13","HS2024-07","4793.00"
"WKPEWR4L96TAPKVHLZ","HEL-BATCH-072","20","2025-12-17","HS2025-94","920.00"
"UATR3EBRJHYR5K4EBR","HEL-BATCH-073","19","2026-01-03","HS2024-55","4188.00"
"MO2GLJWON41HA0OY9E","HEL-BATCH-074","20","2026-03-09","HS2025-94","4635.00"
"K9RUNEWDDR83AMY5NZ","HEL-BATCH-075","17","2026-02-07","HS2026-60","1154.00"
"YUJZRPEBOQM5H16GOS","HEL-BATCH-076","26","2026-02-24","HS2026-44","3167.00"
"7CZQV0PBK34KV8DRJ8","HEL-BATCH-077","10","2026-01-03","HS2025-24","3141.00"
"JHTZHKC3SHTUI21MDY","HEL-BATCH-078","10","2026-02-12","HS2024-29","3114.00"
"I8XHLWEYKZHZON6P8V","HEL-BATCH-079","31","2026-01-01","HS2024-15","1093.00"
"4NL4SMPZZ2T2IPEZCV","HEL-BATCH-080","19","2026-02-25","HS2026-94","1691.00"
