"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",18,19,18,87,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",19,3,19,37,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/parse-claim.mjs",23,16,23,17,"No magic number: 1.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",24,12,24,19,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"func-style","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",31,1,43,2,"Expected a function expression.","https://eslint.org/docs/latest/rules/func-style"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/parse-claim.mjs",35,55,35,57,"No magic number: 36.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/parse-claim.mjs",35,65,35,66,"No magic number: 2.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",36,7,36,18,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",37,7,37,18,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",38,7,38,18,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",40,7,40,18,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"func-style","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",45,1,48,2,"Expected a function expression.","https://eslint.org/docs/latest/rules/func-style"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",46,28,46,34,"Expected object keys to be in ascending order. 'reason' should be before 'valid'.","https://eslint.org/docs/latest/rules/sort-keys"
"@lwc/lwc-platform/no-process-env","eslint",3,"Recommended,LWC,BestPractices,JavaScript","scripts/badges/parse-claim.mjs",47,3,47,15,"Usage of `process.exit` is not allowed",
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/parse-claim.mjs",47,16,47,17,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",51,1,51,33,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",52,1,52,49,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"prefer-named-capture-group","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",52,35,52,47,"Capture group '([123])' should be converted to a named or non-capturing group.","https://eslint.org/docs/latest/rules/prefer-named-capture-group"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",52,35,52,47,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",63,1,63,37,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/parse-claim.mjs",63,33,63,34,"No magic number: 1.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",66,1,66,51,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",67,6,67,30,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",81,1,81,48,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",82,1,82,132,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"prefer-named-capture-group","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",82,33,82,130,"Capture group '([A-Za-z0-9][A-Za-z0-9-]{0,38})' should be converted to a named or non-capturing group.","https://eslint.org/docs/latest/rules/prefer-named-capture-group"
"prefer-named-capture-group","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",82,33,82,130,"Capture group '([A-Za-z0-9._-]{1,100}?)' should be converted to a named or non-capturing group.","https://eslint.org/docs/latest/rules/prefer-named-capture-group"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",82,33,82,130,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",100,1,100,35,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"capitalized-comments","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",116,1,116,80,"Comments should not begin with a lowercase character.","https://eslint.org/docs/latest/rules/capitalized-comments"
"capitalized-comments","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/parse-claim.mjs",117,1,117,79,"Comments should not begin with a lowercase character.","https://eslint.org/docs/latest/rules/capitalized-comments"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",136,3,136,9,"Expected object keys to be in ascending order. 'reason' should be before 'valid'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",137,3,137,8,"Expected object keys to be in ascending order. 'level' should be before 'reason'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",138,3,138,9,"Expected object keys to be in ascending order. 'handle' should be before 'level'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/parse-claim.mjs",140,3,140,7,"Expected object keys to be in ascending order. 'repo' should be before 'trailblazer'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-imports","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",12,1,12,37,"Imports should be sorted alphabetically.","https://eslint.org/docs/latest/rules/sort-imports"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",16,1,16,45,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",17,1,17,42,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",19,1,19,97,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",20,1,20,35,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",21,1,21,47,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",23,1,27,3,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",24,48,24,51,"Expected object keys to be in ascending order. 'hue' should be before 'name'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",24,64,24,69,"Expected object keys to be in ascending order. 'blurb' should be before 'hue'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",25,41,25,44,"Expected object keys to be in ascending order. 'hue' should be before 'name'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",25,57,25,62,"Expected object keys to be in ascending order. 'blurb' should be before 'hue'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",26,45,26,48,"Expected object keys to be in ascending order. 'hue' should be before 'name'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",26,61,26,66,"Expected object keys to be in ascending order. 'blurb' should be before 'hue'.","https://eslint.org/docs/latest/rules/sort-keys"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",29,1,29,47,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"@lwc/lwc-platform/no-process-env","eslint",3,"Recommended,LWC,BestPractices,JavaScript","scripts/badges/render.mjs",29,24,29,36,"Usage of `process.argv.slice` is not allowed",
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",29,43,29,44,"No magic number: 2.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",31,3,31,16,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"@lwc/lwc-platform/no-process-env","eslint",3,"Recommended,LWC,BestPractices,JavaScript","scripts/badges/render.mjs",32,3,32,15,"Usage of `process.exit` is not allowed",
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",32,16,32,17,"No magic number: 2.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",35,1,35,63,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",37,3,37,16,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"@lwc/lwc-platform/no-process-env","eslint",3,"Recommended,LWC,BestPractices,JavaScript","scripts/badges/render.mjs",38,3,38,15,"Usage of `process.exit` is not allowed",
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",38,16,38,17,"No magic number: 1.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",41,1,41,29,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"prefer-destructuring","eslint",3,"BestPractices,JavaScript,Fixable","scripts/badges/render.mjs",41,7,41,28,"Use object destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",42,1,42,27,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"prefer-destructuring","eslint",3,"BestPractices,JavaScript,Fixable","scripts/badges/render.mjs",42,7,42,26,"Use object destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",43,1,43,53,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",43,46,43,47,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",43,49,43,51,"No magic number: 10.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",44,1,44,34,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"func-style","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",47,1,56,2,"Expected a function expression.","https://eslint.org/docs/latest/rules/func-style"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",49,3,49,49,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",51,14,51,28,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",52,14,52,30,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",53,14,53,29,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",54,14,54,31,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",55,14,55,29,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"func-style","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",57,1,59,2,"Expected a function expression.","https://eslint.org/docs/latest/rules/func-style"
"require-unicode-regexp","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",58,32,58,42,"Use the 'u' flag.","https://eslint.org/docs/latest/rules/require-unicode-regexp"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",58,81,58,84,"Expected object keys to be in ascending order. '&' should be before '>'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",58,95,58,98,"Expected object keys to be in ascending order. '""' should be before '&'.","https://eslint.org/docs/latest/rules/sort-keys"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",65,1,65,56,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",66,1,66,128,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-ternary","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",66,16,66,127,"Ternary operator used.","https://eslint.org/docs/latest/rules/no-ternary"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",66,115,66,121,"Expected object keys to be in ascending order. 'badges' should be before 'recipient'.","https://eslint.org/docs/latest/rules/sort-keys"
"capitalized-comments","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",74,3,74,44,"Comments should not begin with a lowercase character.","https://eslint.org/docs/latest/rules/capitalized-comments"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",76,3,76,8,"Expected object keys to be in ascending order. 'level' should be before 'type'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",78,3,78,14,"Expected object keys to be in ascending order. 'description' should be before 'name'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",82,5,82,11,"Expected object keys to be in ascending order. 'course' should be before 'url'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",84,3,84,11,"Expected object keys to be in ascending order. 'issuedOn' should be before 'issuer'.","https://eslint.org/docs/latest/rules/sort-keys"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",85,3,85,11,"Expected object keys to be in ascending order. 'evidence' should be before 'issuedOn'.","https://eslint.org/docs/latest/rules/sort-keys"
"no-ternary","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",87,32,87,105,"Ternary operator used.","https://eslint.org/docs/latest/rules/no-ternary"
"sort-keys","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",90,3,90,15,"Expected object keys to be in ascending order. 'checksPassed' should be before 'image'.","https://eslint.org/docs/latest/rules/sort-keys"
"id-length","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",93,21,93,22,"Identifier name 'a' is too short (< 2).","https://eslint.org/docs/latest/rules/id-length"
"id-length","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",93,24,93,25,"Identifier name 'b' is too short (< 2).","https://eslint.org/docs/latest/rules/id-length"
"prefer-template","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",94,30,94,68,"Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",94,59,94,60,"No magic number: 2.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",97,1,99,15,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/badges/render.mjs",101,1,128,3,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-ternary","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",107,3,107,139,"Ternary operator used.","https://eslint.org/docs/latest/rules/no-ternary"
"no-ternary","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",114,47,114,189,"Ternary operator used.","https://eslint.org/docs/latest/rules/no-ternary"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",114,61,114,62,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",114,81,114,82,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",114,93,114,94,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",114,132,114,133,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/badges/render.mjs",114,144,114,145,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",132,1,132,12,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",133,1,133,12,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",134,1,134,12,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/badges/render.mjs",135,1,135,12,"Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console"
"sort-imports","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",13,1,13,37,"Imports should be sorted alphabetically.","https://eslint.org/docs/latest/rules/sort-imports"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",16,1,16,45,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",17,1,17,66,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"func-style","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/build/data.mjs",21,1,24,2,"Expected a function expression.","https://eslint.org/docs/latest/rules/func-style"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/build/data.mjs",22,18,22,28,"No magic number: 1103515245.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/build/data.mjs",22,31,22,36,"No magic number: 12345.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/build/data.mjs",22,40,22,50,"No magic number: 2147483648.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/build/data.mjs",23,17,23,27,"No magic number: 2147483648.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",25,1,25,63,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",26,1,26,74,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/build/data.mjs",26,70,26,71,"No magic number: 1.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",28,1,34,3,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",35,1,36,100,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",37,1,38,84,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",39,1,40,50,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",41,1,41,50,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",42,1,42,71,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","scripts/build/data.mjs",42,7,42,15,"'STATUSES' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"func-style","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/build/data.mjs",44,1,51,2,"Expected a function expression.","https://eslint.org/docs/latest/rules/func-style"
"no-magic-numbers","eslint",3,"BestPractices,JavaScript","scripts/build/data.mjs",45,36,45,37,"No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers"
"one-var","eslint",3,"BestPractices,JavaScript,TypeScript,Fixable","scripts/build/data.mjs",46,3,49,5,"Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var"
"id-length","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/build/data.mjs",46,16,46,17,"Identifier name 'v' is too short (< 2).","https://eslint.org/docs/latest/rules/id-length"
"id-length","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/build/data.mjs",47,11,47,12,"Identifier name 's' is too short (< 2).","https://eslint.org/docs/latest/rules/id-length"
"no-ternary","eslint",3,"BestPractices,JavaScript,TypeScript","scripts/build/data.mjs",47,15,47,61,"Ternary operator used.","https://eslint.org/docs/latest/rules/no-ternary"
