"Id","Name","Type","Industry","BillingCity","BillingCountry","Phone","Description","Errors"
"001g700000rY6UWAA0","Lisboa Homes 15","Prospect","Construction","Lisboa","Portugal","+34 988 515 485","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UXAA0","Cagliari Residences 16","Customer - Direct","Real Estate","Cagliari","Italy","+34 963 545 110","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UYAA0","Montpellier Housing 17","Prospect","Real Estate","Montpellier","France","+34 982 172 365","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UZAA0","Thessaloniki Rooftops 18","Prospect","Construction","Thessaloniki","Greece","+34 975 707 172","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UaAAK","Bari Properties 19","Customer - Direct","Energy","Bari","Italy","+34 946 940 446","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UbAAK","Palermo Solar Club 20","Customer - Direct","Real Estate","Palermo","Italy","+34 911 558 644","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UcAAK","Faro Estates 21","Prospect","Construction","Faro","Portugal","+34 913 954 279","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UdAAK","Bari Homes 22","Prospect","Energy","Bari","Italy","+34 936 496 831","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UeAAK","Athina Energy Coop 23","Customer - Channel","Construction","Athina","Greece","+34 950 133 411","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UfAAK","Montpellier Residences 24","Prospect","Construction","Montpellier","France","+34 939 863 723","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UgAAK","Faro Energy Coop 25","Prospect","Real Estate","Faro","Portugal","+34 985 272 408","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UhAAK","Montpellier Homes 26","Customer - Channel","Real Estate","Montpellier","France","+34 919 402 494","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UiAAK","Faro Housing 27","Customer - Channel","Construction","Faro","Portugal","+34 937 119 722","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UjAAK","Malaga Villas 28","Customer - Channel","Energy","Malaga","Spain","+34 910 341 940","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UkAAK","Valencia Villas 29","Customer - Channel","Real Estate","Valencia","Spain","+34 970 454 720","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UlAAK","Montpellier Properties 30","Customer - Direct","Real Estate","Montpellier","France","+34 965 687 971","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UmAAK","Lisboa Residences 31","Customer - Channel","Real Estate","Lisboa","Portugal","+34 976 974 961","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UnAAK","Malaga Terraces 32","Customer - Direct","Construction","Malaga","Spain","+34 972 585 862","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UoAAK","Bari Residences 33","Prospect","Energy","Bari","Italy","+34 912 375 655","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UpAAK","Cagliari Homes 34","Customer - Direct","Energy","Cagliari","Italy","+34 925 139 132","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UqAAK","Montpellier Rooftops 35","Customer - Channel","Energy","Montpellier","France","+34 950 177 533","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UrAAK","Palermo Villas 36","Customer - Direct","Real Estate","Palermo","Italy","+34 914 337 186","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UsAAK","Athina Housing 37","Customer - Direct","Construction","Athina","Greece","+34 964 779 232","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UtAAK","Lisboa Housing 38","Prospect","Construction","Lisboa","Portugal","+34 992 201 498","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UuAAK","Thessaloniki Estates 39","Prospect","Construction","Thessaloniki","Greece","+34 996 473 248","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
"001g700000rY6UvAAK","Cagliari Terraces 40","Customer - Channel","Construction","Cagliari","Italy","+34 991 800 524","Seeded by the sfdx-hardis training. Not a real customer.","#N/A"
